dam_name,dam_lat,dam_lon,state,local_river,capacity_mcm,YearOfCompletion,YearSource,assigned_seg_id,assigned_river,match_method,snap_dist_km
Kasturipura Dam,24.0594,76.9522,Madhya Pradesh,Local,0.999,1968.0,"NRLD_2019 (score=0.60, method=first_word_match)",3589.0,Ghora Pachhar,tier1_existing,0.924519
Gwal Sagar Dam,24.75,79.0631,Madhya Pradesh,Local,10.248,1968.0,"NRLD_2019 (score=0.60, method=first_word_match)",4153.0,Dhasan,tier3_nearest,13.33
Anoo Dam,23.8317,79.5264,Madhya Pradesh,Local,0.82,1968.0,"NRLD_2019 (score=0.60, method=first_word_match)",4289.0,Bearma,tier3_nearest,10.78
Barana Bamori Dam,25.0522,78.8192,Madhya Pradesh,Local,1.072,1968.0,"NRLD_2019 (score=0.60, method=first_word_match)",4169.0,Jamni,tier3_nearest,10.09
Balwantpura Dam,24.8383,79.0814,Madhya Pradesh,Local,1.732,1968.0,"NRLD_2019 (score=0.60, method=first_word_match)",4154.0,Dhasan,tier3_nearest,18.72
Jajone Dam,23.9156,78.1514,Madhya Pradesh,Local,6.88,1968.0,"NRLD_2019 (score=0.60, method=first_word_match)",4173.0,Kevtan,tier3_nearest,10.61
Khurera Dam,24.6692,79.1603,Madhya Pradesh,Burun Nala,2.666,1969.0,"NRLD_2019 (score=0.60, method=first_word_match)",4153.0,Dhasan,tier3_nearest,5.07
Moonjwar Dam,25.8019,77.7192,Madhya Pradesh,Local,5.87,1969.0,"NRLD_2019 (score=0.60, method=first_word_match)",3453.0,Parbati,tier3_nearest,8.0
Burha Dam,24.8392,79.6383,Madhya Pradesh,Burha,10.85,1969.0,"NRLD_2019 (score=0.60, method=first_word_match)",4278.0,Banne,tier3_nearest,9.75
Bhonhari Dam,23.8222,78.9194,Madhya Pradesh,Local,0.886,1969.0,"NRLD_2019 (score=0.60, method=first_word_match)",4147.0,Bewas,tier3_nearest,2.23
Kakarhai Dam,24.4749,80.258,Madhya Pradesh,Local,0.618,1969.0,"NRLD_2019 (score=0.60, method=first_word_match)",4268.0,Mirhasan,tier3_nearest,6.39
Kanhaiya Dam,24.5753,81.79,Madhya Pradesh,Local,1.037,1969.0,"NRLD_2019 (score=0.60, method=first_word_match)",4057.0,Son,tier3_nearest,14.09
Padar Dam,24.6081,81.8239,Madhya Pradesh,Local,1.285,1969.0,"NRLD_2019 (score=0.60, method=first_word_match)",4062.0,Naina,tier3_nearest,11.27
Basia Feeder Dam,24.8797,79.0453,Madhya Pradesh,Local,1.054,1970.0,"NRLD_2019 (score=0.60, method=first_word_match)",4154.0,Dhasan,tier3_nearest,17.91
Madan Sagar Dam,25.0092,79.0386,Madhya Pradesh,Ghatprabha,2.58,1966.0,"NRLD_2019 (score=0.60, method=first_word_match)",4154.0,Dhasan,tier3_nearest,13.47
Veer Sagar Dam,25.1864,78.6958,Madhya Pradesh,Local,26.15,1970.0,"NRLD_2019 (score=0.60, method=first_word_match)",4169.0,Jamni,tier3_nearest,10.48
Bankuiya Dam,24.5981,81.1875,Madhya Pradesh,Local,1.29,1971.0,"NRLD_2019 (score=0.60, method=first_word_match)",4073.0,Satna,tier3_nearest,10.24
Chhaya Sagar Dam,24.3078,81.1311,Madhya Pradesh,Local,0.444,1972.0,"NRLD_2019 (score=0.60, method=first_word_match)",4077.0,Tons,tier3_nearest,6.83
