seg_id,early_dry_mean,late_dry_mean,abs_change_m3s,pct_change,river_name,tier,updated_tier,long_term_mean,dry_mk_trend,dry_mk_p_value,dry_sens_slope_pct_yr
3606,1.3262207940625,1.380392714032258,0.05417191996975812,4.084683350787908,Ansar,5,5,5.644511616596244,no trend,0.842618527640413,-0.02889933295684583
3758,2.02517940775,2.1086126221774193,0.08343321442741924,4.1197937381811816,Andheri,4,4,10.317613294377933,no trend,0.5647631724211553,-0.10331938132065774
3652,18.682043296875,19.452626822580648,0.7705835257056464,4.124728293690145,Chambal,2,2,72.52827869483568,no trend,0.8581805908972016,0.038795505786170574
3650,12.217829711250001,12.726631291129031,0.5088015798790302,4.164418656208091,Chambal,2,2,46.68643043169014,no trend,1.0,0.00029131396880709723
3647,1.4301174581875,1.4902687028225807,0.0601512446350807,4.2060352658945295,Maleni,5,5,5.571505399448357,no trend,0.5316971675813358,0.1195829124384288
3609,1.069854549375,1.1148943774193547,0.04503982804435469,4.20990199748803,Khoki,5,5,2.942470318333333,no trend,0.5782610692399586,-0.09743458135425258
3651,5.061495944375,5.276919803225806,0.21542385885080595,4.2561302274718456,Chambal,2,2,20.195506212441316,no trend,0.6913008056206345,0.07759390975142527
4198,3.7777923093749997,3.9390125838709675,0.16122027449596787,4.2675790856972835,Baen,5,5,18.665049263615025,no trend,0.827117687577857,0.02839383728884559
3699,0.8462177128749999,0.8823876111290323,0.036169898254032384,4.274301719724846,Sameliya,5,5,2.8318527261267605,no trend,0.9762410903191197,-0.00929650248449025
3644,1.348436949875,1.4063090961290323,0.057872146254032364,4.291794752390693,Idar,5,5,4.620624834483568,no trend,0.5850664269805577,-0.09000179103970878
3749,0.47310665443750005,0.4934228873387097,0.020316232901209652,4.294218377749226,Gadela,5,5,1.654685452185446,no trend,0.7059983246415333,0.1365451661047557
3630,8.365959246875,8.726296583064517,0.3603373361895166,4.307184933086019,Chhoti Kali Sindh,4,4,36.10436032992958,no trend,0.8894646599057274,0.01810986637884831
3753,0.9560073514375,0.9971853645967742,0.04117801315927416,4.307290430074294,Andheri,4,4,4.689827226866197,no trend,0.5919087714885272,-0.09509589159822045
3628,140.6826154,146.75665716129032,6.074041761290317,4.317549644652339,Chambal,2,2,582.3198031326291,no trend,0.8973146218766033,-0.020540251485367863
3655,4.325102875000001,4.5129610096774195,0.18785813467741885,4.343437372629404,Gambhir,4,4,17.339935716549295,no trend,0.9920793227943283,0.0036328743081603726
3735,0.7952305775624999,0.8300287977419355,0.03479822017943557,4.3758654610713394,Berach,4,4,2.551774620692488,no trend,0.9445989408361049,0.016673270769306654
3432,41.346218481250006,43.16866775,1.8224492687499918,4.407777387372076,Banas,3,3,129.93083479929578,no trend,0.9683250952101472,0.010572327189483898
3748,1.312937748125,1.3720963841935483,0.05915863606854832,4.505821860406747,Aheli,5,5,4.973562202664319,no trend,0.8193920555171392,-0.03313879101398295
4883,189.45581473750002,197.99434572580645,8.538530988306434,4.506871958581462,Kosi,2,2,961.6897440598592,no trend,0.38776831898796127,0.11823663253462206
3648,4.123999483125,4.31114115483871,0.18714167171371,4.537868457051833,Maleni,5,5,16.517707634859153,no trend,0.6407995334718981,0.0996267757406648
